100	0
10100	2
20100	1
30100	1
40100	2
50100	1
60100	1
70100	1
80100	1
90100	1
100100	1
110100	1
120100	1
130100	0
140100	1
150100	1
160100	1
170100	1
180100	2
190100	0
200100	1
210100	1
220100	2
230100	1
240100	0
250100	1
260100	1
270100	1
280100	1
290100	1
300100	1
310100	1
320100	1
330100	1
340100	1
350100	1
360100	1
370100	1
380100	1
390100	2
400100	1
410100	3
420100	1
430100	1
440100	1
450100	1
460100	1
470100	1
480100	1
490100	1
500100	3
510100	2
520100	1
530100	2
540100	2
550100	1
560100	2
570100	1
580100	1
590100	1
600100	1
610100	2
620100	1
630100	1
640100	1
650100	1
660100	3
670100	1
680100	1
690100	2
700100	1
710100	2
720100	1
730100	1
740100	1
750100	1
760100	1
770100	1
780100	1
790100	1
800100	1
810100	1
820100	1
830100	1
840100	1
850100	1
860100	1
870100	1
880100	1
890100	1
900100	1
910100	1
920100	1
930100	1
940100	2
950100	1
960100	1
970100	2
980100	2
990100	1
