100	0.05
10100	0.4
20100	0.37
30100	0.19
40100	0.34
50100	0.51
60100	0.18
70100	0.11
80100	0.38
90100	0.02
100100	0.02
110100	0.28
120100	0.05
130100	0
140100	0.08
150100	0.17
160100	0.27
170100	0.37
180100	0.4
190100	0.02
200100	0.13
210100	0.21
220100	0.39
230100	0.01
240100	0.04
250100	0.43
260100	0.38
270100	0.14
280100	0.14
290100	0.04
300100	0.3
310100	0.06
320100	0.27
330100	0.32
340100	0.17
350100	0.16
360100	0.23
370100	0.02
380100	0.06
390100	0.48
400100	0.01
410100	0.82
420100	0.33
430100	0.23
440100	0.34
450100	0.15
460100	0.02
470100	0.07
480100	0.05
490100	0.24
500100	0.95
510100	0.78
520100	0.22
530100	0.28
540100	0.49
550100	0.12
560100	0.51
570100	0.11
580100	0.36
590100	0.05
600100	0.27
610100	0.61
620100	0.08
630100	0.16
640100	0.09
650100	0.32
660100	0.05
670100	0.2
680100	0.01
690100	0.07
700100	0.07
710100	0.36
720100	0.28
730100	0.14
740100	0.23
750100	0.02
760100	0.18
770100	0.24
780100	0.21
790100	0.17
800100	0.01
810100	0.07
820100	0.07
830100	0.39
840100	0.08
850100	0.18
860100	0.23
870100	0.07
880100	0.31
890100	0.17
900100	0.11
910100	0.23
920100	0.02
930100	0.33
940100	0.56
950100	0.11
960100	0.03
970100	0.47
980100	0.72
990100	0.01
